"task_id","best_run","B0_hat","sigma_beta_hat","filter_seed","Np","final_pf_logLik","n_filter_times","estimate_semantics","conditioning","parameter_uncertainty_integrated","sampled_trajectory_used_for_metrics"
184,2,3.2587580308539,0.292939022548873,204260900,50000,-187.92626021186,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
185,6,3.41407754298343,0.292417317005855,205260900,50000,-162.089744956211,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
186,7,3.84159644729017,0.280791295199332,206260900,50000,-190.063316863001,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
187,8,4.57734332176602,0.178069209503878,207260900,50000,-195.098797171295,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
188,6,3.64308526865866,0.350326395693376,208260900,50000,-191.455053093431,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
189,7,3.253484367918,0.36078948869676,209260900,50000,-160.866346211287,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
190,1,3.54583353071195,0.452085494709957,210260900,50000,-217.508496059549,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
191,5,4.92907186544843,0.374288683629418,211260900,50000,-199.09727268266,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
192,9,3.92054517910699,0.31780047303445,212260900,50000,-186.30658751154,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
193,7,3.98951732462636,0.203393893303196,213260900,50000,-203.083845532684,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
194,6,3.40454467454537,0.256875420313901,214260900,50000,-194.369463130081,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
195,6,3.69769631164585,0.235067436805491,215260900,50000,-188.803168410078,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
196,7,3.14729095972758,0.198903053691488,216260900,50000,-154.543739314324,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
197,4,3.43418524251958,0.298496093465198,217260900,50000,-197.000212065657,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
198,7,3.78277895141542,0.168932469079833,218260900,50000,-206.895073655138,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
199,3,4.23855300250356,0.275032907173687,219260900,50000,-190.64708608339,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
200,3,3.75632976347555,0.408136358941826,220260900,50000,-210.886369426115,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
