"task_id","model","best_run","best_logLik","second_best_logLik","logLik_gap","n_successful_starts"
71,"gamma_noise",3,-208.35848683743,-208.367041801211,0.00855496378099474,9
72,"gamma_noise",5,-186.609735144992,-186.613951367786,0.0042162227940139,9
73,"gamma_noise",8,-192.692296000406,-192.694438641518,0.00214264111198759,9
74,"gamma_noise",2,-200.184623123106,-200.209832915137,0.0252097920310064,9
75,"gamma_noise",9,-182.742650742388,-182.744091271347,0.00144052895899449,9
76,"gamma_noise",1,-212.875825785923,-212.894454005748,0.0186282198249899,9
77,"gamma_noise",2,-192.774236753124,-192.776537300577,0.00230054745298958,9
78,"gamma_noise",8,-207.089956960304,-207.111006125149,0.0210491648450102,9
79,"gamma_noise",8,-199.151681244106,-199.151684428308,3.18420200073888e-06,9
80,"gamma_noise",8,-189.601759422029,-189.622251519957,0.0204920979279848,9
81,"gamma_noise",3,-193.493729410069,-193.503843684466,0.0101142743970115,9
82,"gamma_noise",2,-187.977770131353,-188.023410093104,0.045639961750993,9
83,"gamma_noise",1,-191.044824318916,-191.04727685695,0.00245253803399237,9
84,"gamma_noise",4,-168.880374079646,-168.902460717399,0.0220866377530058,9
85,"gamma_noise",1,-196.215009498413,-196.237067564434,0.0220580660210032,9
86,"gamma_noise",4,-147.834119917219,-147.848790733089,0.0146708158700051,9
87,"gamma_noise",9,-209.865934537145,-209.89871578341,0.0327812462650172,9
88,"gamma_noise",2,-208.702230403063,-208.714134833954,0.0119044308910077,9
89,"gamma_noise",7,-184.196430285377,-184.202443392296,0.00601310691899926,9
90,"gamma_noise",6,-191.957121730436,-191.957171986108,5.0255671993682e-05,9
91,"gamma_noise",8,-184.978680081296,-184.982904085686,0.00422400438998238,9
92,"gamma_noise",4,-190.572886399252,-190.580554810752,0.00766841149999209,9
93,"gamma_noise",4,-196.030785860101,-196.03182898947,0.00104312936900897,9
94,"gamma_noise",2,-212.253604370973,-212.277331803351,0.0237274323779957,9
95,"gamma_noise",3,-187.422321523864,-187.433291232975,0.0109697091109808,9
96,"gamma_noise",3,-188.615353986738,-188.625051148478,0.00969716174000723,9
97,"gamma_noise",3,-204.06047785773,-204.082369051729,0.0218911939989823,9
98,"gamma_noise",1,-173.711632595621,-173.741571124195,0.0299385285739788,9
99,"gamma_noise",4,-181.452586657069,-181.49189398954,0.0393073324709974,9
100,"gamma_noise",1,-198.744361002824,-198.756260481794,0.0118994789699798,9
101,"gamma_noise",3,-182.79200370397,-182.810248901247,0.0182451972769968,9
102,"gamma_noise",1,-138.983606835544,-138.988681939421,0.00507510387700449,9
103,"gamma_noise",3,-195.785068203544,-195.818862897201,0.0337946936570006,9
104,"gamma_noise",9,-179.808940836091,-179.817535332218,0.00859449612698882,9
105,"gamma_noise",4,-200.230373592724,-200.250908701242,0.0205351085180041,9
106,"gamma_noise",7,-190.987854558565,-191.008686499034,0.0208319404690087,9
107,"gamma_noise",8,-203.719984270359,-203.741100897127,0.0211166267680198,9
108,"gamma_noise",1,-207.401544420897,-207.410589283221,0.00904486232397517,9
109,"gamma_noise",2,-179.60340260613,-179.611333244098,0.00793063796800197,9
110,"gamma_noise",2,-199.638004665179,-199.663109188257,0.0251045230779994,9
111,"gamma_noise",6,-187.99331226232,-187.998986152635,0.0056738903150233,9
112,"gamma_noise",1,-185.825760583734,-185.832191766902,0.00643118316801861,9
113,"gamma_noise",5,-199.205062118417,-199.20547600178,0.000413883362995193,9
114,"gamma_noise",3,-190.776430002502,-190.799043547207,0.0226135447049955,9
115,"gamma_noise",1,-210.182810648224,-210.18725737244,0.00444672421599535,9
116,"gamma_noise",6,-200.193769599557,-200.209165045684,0.0153954461270018,9
117,"gamma_noise",6,-184.226689324809,-184.262641832689,0.0359525078800118,9
118,"gamma_noise",4,-198.70247667064,-198.707496068876,0.00501939823598718,9
119,"gamma_noise",8,-204.884578066607,-204.897862678038,0.0132846114310041,9
120,"gamma_noise",2,-183.57361070103,-183.580990721156,0.00738002012602124,9
121,"gamma_noise",4,-202.094638711649,-202.095830920902,0.00119220925299146,9
122,"gamma_noise",5,-181.863157721951,-181.884819000437,0.0216612784859933,9
123,"gamma_noise",4,-190.397620445564,-190.40251783258,0.00489738701600118,9
