"task_id","simulation_seed","run","start_B0","start_sigma_beta","B0_hat","sigma_beta_hat","logLik","logLik_se","n_successful_pf_evals","status","error_message"
122,1122,3,6,0.1,4.16739395096983,0.257991176530639,-181.892049960934,0.00493947175183959,5,"success",NA
122,1122,4,2,0.3,4.2167481226262,0.255484525208511,-181.904229699631,0.0132146873702312,5,"success",NA
122,1122,5,4,0.3,4.30519981867314,0.259613686629374,-181.931996589154,0.0126485671988275,5,"success",NA
122,1122,6,6,0.3,4.11096349126573,0.277188101402175,-181.944460029792,0.0209605316900512,5,"success",NA
122,1122,7,2,0.45,4.16256994567747,0.261213573709749,-181.900547130106,0.01279518073659,5,"success",NA
122,1122,8,4,0.45,4.29256978273638,0.256671549611217,-181.905624879065,0.0161625392533372,5,"success",NA
122,1122,9,6,0.45,4.26337592436039,0.263094413409504,-181.906004650501,0.025308095272322,5,"success",NA
123,1123,1,2,0.1,4.7569956032247,0.511470926986597,-190.362708326798,0.0289613274235611,5,"success",NA
123,1123,2,4,0.1,4.43319883095421,0.504173402346403,-190.438130646931,0.0191478696223105,5,"success",NA
123,1123,3,6,0.1,4.59835623888733,0.535544736666978,-190.45201097714,0.0133571637295733,5,"success",NA
123,1123,4,2,0.3,4.81854433226539,0.566309468707947,-190.486864515252,0.020684265719449,5,"success",NA
123,1123,5,4,0.3,4.72961083787604,0.53020814995759,-190.461725914488,0.0265410588029297,5,"success",NA
123,1123,6,6,0.3,4.67817570981298,0.525813765194131,-190.442036875939,0.00924229446262905,5,"success",NA
123,1123,7,2,0.45,4.60371177184585,0.525731740944699,-190.40811159731,0.0140894181982751,5,"success",NA
123,1123,8,4,0.45,4.71586215413013,0.51807405224023,-190.411233546802,0.0233645103066859,5,"success",NA
123,1123,9,6,0.45,4.6391112026334,0.493756054620448,-190.389640685248,0.02605838269424,5,"success",NA
124,1124,1,2,0.1,4.351963702073,0.317996522066673,-190.174420578137,0.0114675408889689,5,"success",NA
124,1124,2,4,0.1,4.5553462400947,0.294076448270758,-190.161603612134,0.0204518871791598,5,"success",NA
124,1124,3,6,0.1,4.35784071659102,0.308062023095421,-190.162943405345,0.0142403027393133,5,"success",NA
124,1124,4,2,0.3,4.48366803408739,0.311998608854748,-190.171396865496,0.0123988147665198,5,"success",NA
124,1124,5,4,0.3,4.4887052868202,0.315212265335371,-190.170370678948,0.0114639867611091,5,"success",NA
